,0
0,"ABE2012C, Introduction to Biological Engineering"
1,"ABE3000C, Applications in Biological Engineering"
2,"ABE3212C, Land and Water Resources Engineering"
3,"ABE3612C, Heat and Mass Transfer in Biological Systems"
4,"ABE3652C, Physical and Rheological Properties of Biological Materials"
5,"ABE4033, Fundamentals and Applications of Biosensors"
6,"ABE4034, Remote Sensing in Engineering: Science, Sensors and Applications"
7,"ABE4042C, Biological Engineering Design 1"
8,"ABE4043C, Biological Engineering Design 2"
9,"ABE4171, Power and Machines for Biological Systems"
10,"ABE4231C, Irrigation and Drainage Engineering"
11,"ABE4413C, Post-Harvest Operations Engineering"
12,"ABE4641, Modeling Coupled Natural-Human Systems"
13,"ABE4655C, Bio-Based Products from Renewable Resources"
14,"ABE4662, Quantification of Biological Processes"
15,"ABE4812, Food and Bioprocess Engineering Unit Operations"
16,"ABE4912, Integrated Product and Processing Design 1 in Biological Engineering"
17,"ABE4932, Special Topics"
18,"ABE4935, Writing Grant Proposals for Scholarships and Fellowships"
19,"ABE5038, Recent Developments and Applications in Biosensors"
20,"ABE5152, Fluid Power Circuits and Control"
21,"ABE5442, Advanced Agricultural Process Engineering"
22,"ABE5643C, Biological Systems Modeling"
23,"ABE5646, Biological and Agricultural Systems Simulation"
24,"ABE5648, Modeling Coupled Natural-Human Systems"
25,"ABE5815C, Food and Bioprocess Engineering Design"
26,"ABE5936, Writing Grant Proposals for Scholarships and Fellowships"
27,"ABE6005, Applied Control for Automation and Robots"
28,"ABE6017, Stochastic Modeling in Ecology and Hydrology"
29,"ABE6031, Instrumentation in Agricultural Engineering Research"
30,"ABE6035, Advanced Remote Sensing: Science and Sensors"
31,"ABE6252, Advanced Soil and Water Management Engineering"
32,"ABE6265, Vadose Zone Modeling"
33,"ABE6266, Nanotechnology in Water Research"
34,"ABE6615, Advanced Heat and Mass Transfer in Biological Systems"
35,"ABE6644, Agricultural Decision Systems"
36,"ABE6645C, Computer Simulation of Crop Growth and Management Responses"
37,"ABE6649C, Advanced Biological Systems Modeling"
38,"ABE6654C, Advanced Bio-Based Products from Renewable Resources"
39,"ABE6840, Data Diagnostics"
40,"ABE6931, Seminar"
41,"ABE6933, Special Topics in Agricultural and Biological Engineering"
42,"ABE6986, Applied Mathematics in Engineering and Agriculture"
43,"AGG5607, Communicating in Academia"
44,"AEC3030C, Effective Oral Communication"
45,"AEC3033C, Research and Business Writing in Agricultural and Life Sciences"
46,"AEC3065, Issues in Agricultural and Life Sciences"
47,"AEC3070C, Digital Media Production in Agricultural and Life Sciences"
48,"AEC3071, Social Media Strategy and Leadership for Agricultural and Life Sciences"
49,"AEC3073, Intercultural Communication"
